Comment Date,Comment
"Sep 13, 2021, 1:30:12 AM",Neel Fulton beeeeeeeeeeeeeeeen
"Sep 13, 2021, 3:45:53 PM",nice
"Oct 17, 2021, 9:41:19 PM",Sizeable
"Oct 18, 2021, 10:07:17 PM",Neel Fulton 
"Oct 24, 2021, 4:30:35 PM",Neel Fulton close enough?
"Oct 25, 2021, 10:04:19 PM",Neel Fulton 
"Oct 28, 2021, 11:15:26 PM",Not giving you a kudo
"Nov 1, 2021, 1:27:02 AM",mileage is mileage
"Nov 1, 2021, 9:40:09 PM",Panorama City moment
"Nov 4, 2021, 9:57:46 PM",Neel Fulton 
"Nov 12, 2021, 12:22:09 AM",Bring back high mileage Sean
"Nov 12, 2021, 1:37:58 AM",Neel Fulton 
"Nov 13, 2021, 9:54:45 PM",Neel Fulton 
"Nov 16, 2021, 2:49:02 PM",Neel Fulton 
"Nov 19, 2021, 11:20:54 PM",huge mileage
"Nov 21, 2021, 3:46:57 PM",5 way tie
"Nov 21, 2021, 3:58:04 PM",August Dolmatch this is definitely an old injury
"Nov 21, 2021, 6:21:25 PM",Tem🅱️o?
"Nov 25, 2021, 3:45:24 PM",F
"Nov 25, 2021, 5:34:05 PM",Did you beat him
"Nov 25, 2021, 6:36:41 PM",Darn
"Nov 27, 2021, 3:17:04 PM",Now meme on over to the train station
"Nov 27, 2021, 3:17:56 PM",pov: you can easily run sub 6
"Nov 28, 2021, 1:44:48 PM",Lauryn McKenna no
"Nov 29, 2021, 12:03:54 AM",What did you do to him
"Nov 29, 2021, 10:55:28 PM",Neel Fulton 
"Dec 1, 2021, 1:22:19 PM",LARGE
"Dec 1, 2021, 10:57:03 PM",True
"Dec 2, 2021, 4:06:47 PM",Why didn't you run on the turf
"Dec 3, 2021, 11:23:03 PM",Norah Czajka Why am I a bean?????
"Dec 4, 2021, 1:41:39 AM",Why am I a bean Nora
"Dec 4, 2021, 3:32:29 AM",Huge
"Dec 5, 2021, 10:51:06 PM",Tough
"Dec 6, 2021, 8:27:34 PM",Sounds like somebody lost 178$ worth of airpods
"Dec 6, 2021, 8:49:59 PM",Oh that's fortunate
"Dec 6, 2021, 11:18:39 PM",Sean Dutton so why am I a bean
"Dec 7, 2021, 3:03:15 AM",Flying on the last four
"Dec 9, 2021, 12:42:17 AM",Fast
