Join Date,Name,Completed
"Oct 26, 2021, 1:45:01 PM",November Run Climbing Challenge,true
"Oct 26, 2021, 1:45:03 PM",November 5k,true
"Oct 26, 2021, 1:45:05 PM",November Running Challenge,true
"Oct 26, 2021, 1:45:07 PM",November 10k,true
"Oct 26, 2021, 1:45:09 PM",November Running Endurance Challenge,true
"Oct 26, 2021, 4:40:22 PM",Saucony Grand Prix- Stage Three,true
"Oct 27, 2021, 3:38:43 PM",Gatorade 3x4 Challenge,true
"Oct 28, 2021, 1:18:57 PM",Be active this winter with 66°North,true
"Oct 28, 2021, 1:23:11 PM",October 5k,true
"Nov 1, 2021, 12:30:21 AM",November Running Distance Challenge,true
"Nov 4, 2021, 4:13:41 PM",Le Col 250 Tempo,true
"Nov 4, 2021, 4:13:45 PM",PREPD'S Boundless Hydration Challenge,true
"Nov 4, 2021, 5:49:35 PM",AfterShokz Fit For Fall Challenge,true
"Aug 3, 2024, 4:05:26 AM",ROKA. Sun. Sweat. Sleep. Repeat. 250,true
"Aug 12, 2024, 1:05:41 AM",Bombas Summer Movement Challenge,true
