Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 15, 2021, 4:15:43 AM",Kudos,Activity,5794246573
"Aug 20, 2021, 1:25:08 AM",Kudos,Activity,5821048276
"Aug 20, 2021, 9:12:45 PM",Kudos,Activity,5822129787
"Aug 21, 2021, 1:10:11 PM",Kudos,Activity,5827151313
"Aug 21, 2021, 1:10:14 PM",Kudos,Activity,5826175784
"Aug 31, 2021, 8:49:18 PM",Kudos,Activity,5884535344
"Sep 6, 2021, 11:34:31 PM",Kudos,Activity,5915926520
"Sep 16, 2021, 10:47:40 PM",Kudos,Activity,5971733870
"Sep 16, 2021, 10:47:42 PM",Kudos,Activity,5961019838
"Sep 16, 2021, 10:47:43 PM",Kudos,Activity,5954081788
"Sep 16, 2021, 10:47:44 PM",Kudos,Activity,5938727638
"Sep 16, 2021, 10:47:45 PM",Kudos,Activity,5934094574
"Sep 16, 2021, 10:47:47 PM",Kudos,Activity,5923273675
"Sep 16, 2021, 10:47:48 PM",Kudos,Activity,5915311562
"Sep 16, 2021, 10:47:49 PM",Kudos,Activity,5904934930
"Sep 16, 2021, 10:47:50 PM",Kudos,Activity,5899168859
"Sep 16, 2021, 10:47:51 PM",Kudos,Activity,5871906047
"Sep 16, 2021, 10:47:53 PM",Kudos,Activity,5820884644
"Sep 16, 2021, 10:47:54 PM",Kudos,Activity,5813005581
"Sep 16, 2021, 10:47:56 PM",Kudos,Activity,5809442452
"Sep 16, 2021, 10:47:57 PM",Kudos,Activity,5801298540
"Sep 16, 2021, 10:47:58 PM",Kudos,Activity,5799642172
"Sep 16, 2021, 10:48:00 PM",Kudos,Activity,5783390455
"Sep 16, 2021, 10:48:01 PM",Kudos,Activity,5775533432
"Sep 16, 2021, 10:48:02 PM",Kudos,Activity,5771837882
"Sep 16, 2021, 10:48:04 PM",Kudos,Activity,5765900935
"Sep 16, 2021, 10:48:05 PM",Kudos,Activity,5761052098
"Sep 16, 2021, 10:48:07 PM",Kudos,Activity,5755100722
"Sep 16, 2021, 10:48:12 PM",Kudos,Activity,5753988983
"Sep 16, 2021, 10:48:32 PM",Kudos,Activity,5745516419
"Sep 16, 2021, 10:48:34 PM",Kudos,Activity,5739688114
"Sep 16, 2021, 10:48:35 PM",Kudos,Activity,5727019167
"Sep 16, 2021, 10:48:36 PM",Kudos,Activity,5724129651
"Sep 16, 2021, 10:48:38 PM",Kudos,Activity,5711389805
"Sep 16, 2021, 10:48:39 PM",Kudos,Activity,5708089161
"Sep 16, 2021, 10:48:40 PM",Kudos,Activity,5701371818
"Sep 16, 2021, 10:48:42 PM",Kudos,Activity,5690635469
"Sep 16, 2021, 10:48:49 PM",Kudos,Activity,5379574555
"Sep 16, 2021, 10:49:41 PM",Kudos,Activity,3927930917
"Sep 16, 2021, 10:50:03 PM",Kudos,Activity,3922293518
"Sep 16, 2021, 10:50:08 PM",Kudos,Activity,3922310612
"Oct 10, 2021, 2:04:22 PM",Kudos,Activity,6088999031
"Oct 10, 2021, 2:04:23 PM",Kudos,Activity,6089081503
"Oct 16, 2021, 6:58:46 PM",Kudos,Activity,6114525883
"Oct 16, 2021, 6:58:51 PM",Kudos,Activity,6114582485
"Oct 16, 2021, 6:59:41 PM",Kudos,Activity,6109386224
"Oct 16, 2021, 6:59:54 PM",Kudos,Activity,6113750558
"Oct 17, 2021, 11:44:20 AM",Kudos,Activity,6123602861
"Oct 17, 2021, 2:32:52 PM",Kudos,Activity,6123687381
"Oct 17, 2021, 9:41:08 PM",Kudos,Activity,6128303672
"Oct 19, 2021, 1:40:49 PM",Kudos,Activity,6134041438
"Oct 19, 2021, 1:41:07 PM",Kudos,Activity,6135489079
"Oct 20, 2021, 2:03:31 PM",Kudos,Activity,6140843053
"Oct 23, 2021, 6:52:14 AM",Kudos,Activity,6151471347
"Oct 23, 2021, 6:53:54 AM",Kudos,Activity,6151712205
"Oct 23, 2021, 6:53:57 AM",Kudos,Activity,6151721921
"Oct 23, 2021, 3:19:38 PM",Kudos,Activity,6155132090
"Oct 23, 2021, 3:20:24 PM",Kudos,Activity,6151707556
"Oct 25, 2021, 2:20:56 AM",Kudos,Activity,6162486166
"Oct 25, 2021, 2:21:07 AM",Kudos,Activity,6162211886
"Oct 25, 2021, 2:21:19 AM",Kudos,Activity,6162405084
"Oct 25, 2021, 2:21:37 AM",Kudos,Activity,6161510137
"Oct 26, 2021, 2:05:36 AM",Kudos,Activity,6166802886
"Oct 26, 2021, 2:05:55 AM",Kudos,Activity,6166468917
"Oct 26, 2021, 2:06:02 AM",Kudos,Activity,6166515750
"Oct 26, 2021, 12:45:58 PM",Kudos,Activity,6168600020
"Oct 27, 2021, 2:33:50 AM",Kudos,Activity,6171659798
"Oct 27, 2021, 10:59:34 PM",Kudos,Activity,6174937351
"Oct 27, 2021, 11:37:08 PM",Kudos,Activity,6175584835
"Oct 28, 2021, 1:29:43 PM",Kudos,Activity,6176748748
"Oct 28, 2021, 1:29:47 PM",Kudos,Activity,6176611974
"Oct 28, 2021, 1:29:58 PM",Kudos,Activity,6176706068
"Oct 28, 2021, 11:16:36 PM",Kudos,Activity,6180588338
"Oct 30, 2021, 4:50:32 PM",Kudos,Activity,6186316643
"Oct 30, 2021, 5:02:24 PM",Kudos,Activity,6188399968
"Oct 30, 2021, 10:23:57 PM",Kudos,Activity,6189153533
"Oct 31, 2021, 12:12:21 PM",Kudos,Activity,6189817440
"Oct 31, 2021, 10:23:26 PM",Kudos,Activity,6192843075
"Nov 1, 2021, 9:39:44 PM",Kudos,Activity,6198274175
"Nov 1, 2021, 9:41:00 PM",Kudos,Activity,6198006400
"Nov 1, 2021, 10:50:51 PM",Kudos,Activity,6198884549
"Nov 1, 2021, 10:50:56 PM",Kudos,Activity,6198883140
"Nov 1, 2021, 10:50:57 PM",Kudos,Activity,6198884477
"Nov 2, 2021, 2:18:38 PM",Kudos,Activity,6201473063
"Nov 2, 2021, 6:43:29 PM",Kudos,Activity,6201604188
"Nov 3, 2021, 12:36:40 PM",Kudos,Activity,6204117232
"Nov 3, 2021, 12:36:44 PM",Kudos,Activity,6203944585
"Nov 3, 2021, 4:37:00 PM",Kudos,Activity,6206533211
"Nov 3, 2021, 4:37:25 PM",Kudos,Activity,6204611004
"Nov 3, 2021, 10:47:29 PM",Kudos,Activity,6208205980
"Nov 3, 2021, 11:57:23 PM",Kudos,Activity,6208301766
"Nov 3, 2021, 11:57:48 PM",Kudos,Activity,6208296399
"Nov 3, 2021, 11:57:49 PM",Kudos,Activity,6208101003
"Nov 3, 2021, 11:57:50 PM",Kudos,Activity,6208194299
"Nov 3, 2021, 11:57:54 PM",Kudos,Activity,6208299142
"Nov 4, 2021, 2:30:05 AM",Kudos,Activity,6208613274
"Nov 4, 2021, 2:30:10 AM",Kudos,Activity,6208867794
"Nov 4, 2021, 2:30:31 AM",Kudos,Activity,6208783956
"Nov 4, 2021, 2:30:52 AM",Kudos,Activity,6208674168
"Nov 4, 2021, 2:30:56 AM",Kudos,Activity,6208437269
"Nov 4, 2021, 2:31:03 AM",Kudos,Activity,6208525519
"Nov 4, 2021, 12:16:38 PM",Kudos,Activity,6210245342
"Nov 4, 2021, 4:13:28 PM",Kudos,Activity,6209159853
"Nov 4, 2021, 5:49:40 PM",Kudos,Activity,6211470454
"Nov 4, 2021, 9:58:09 PM",Kudos,Activity,6212416435
"Nov 4, 2021, 9:58:16 PM",Kudos,Activity,6212249288
"Nov 4, 2021, 10:48:13 PM",Kudos,Activity,6212664605
"Nov 4, 2021, 10:48:16 PM",Kudos,Activity,6212564293
"Nov 4, 2021, 11:42:22 PM",Kudos,Activity,6212593651
"Nov 4, 2021, 11:42:24 PM",Kudos,Activity,6212575686
"Nov 4, 2021, 11:47:25 PM",Kudos,Activity,6212826391
"Nov 4, 2021, 11:47:33 PM",Kudos,Activity,6212603949
"Nov 4, 2021, 11:47:34 PM",Kudos,Activity,6212730615
"Nov 4, 2021, 11:47:35 PM",Kudos,Activity,6212753167
"Nov 4, 2021, 11:47:47 PM",Kudos,Activity,6212675206
"Nov 4, 2021, 11:48:05 PM",Kudos,Activity,6212635743
"Nov 4, 2021, 11:48:06 PM",Kudos,Activity,6211967302
"Nov 5, 2021, 1:10:55 PM",Kudos,Activity,6213488783
"Nov 5, 2021, 5:18:47 PM",Kudos,Activity,6215635885
"Nov 5, 2021, 7:35:49 PM",Kudos,Activity,6215565047
"Nov 6, 2021, 1:06:10 AM",Kudos,Activity,6216921761
"Nov 6, 2021, 1:06:15 AM",Kudos,Activity,6216922627
"Nov 6, 2021, 1:06:31 AM",Kudos,Activity,6217064262
"Nov 6, 2021, 1:23:52 AM",Kudos,Activity,6216716180
"Nov 6, 2021, 1:44:24 PM",Kudos,Activity,6217509784
"Nov 6, 2021, 1:44:32 PM",Kudos,Activity,6219270259
"Nov 6, 2021, 1:44:37 PM",Kudos,Activity,6217410444
"Nov 6, 2021, 1:44:41 PM",Kudos,Activity,6217295882
"Nov 6, 2021, 1:44:44 PM",Kudos,Activity,6216696256
"Nov 6, 2021, 1:44:46 PM",Kudos,Activity,6217411928
"Nov 6, 2021, 6:08:26 PM",Kudos,Activity,6220815302
"Nov 6, 2021, 6:08:33 PM",Kudos,Activity,6220101525
"Nov 6, 2021, 6:08:34 PM",Kudos,Activity,6220816646
"Nov 6, 2021, 6:08:59 PM",Kudos,Activity,6220596182
"Nov 6, 2021, 6:09:22 PM",Kudos,Activity,6220605210
"Nov 6, 2021, 6:09:34 PM",Kudos,Activity,6220480111
"Nov 6, 2021, 6:09:35 PM",Kudos,Activity,6220407450
"Nov 6, 2021, 6:09:37 PM",Kudos,Activity,6220252131
"Nov 6, 2021, 6:09:48 PM",Kudos,Activity,6220261791
"Nov 6, 2021, 6:10:13 PM",Kudos,Activity,6220032155
"Nov 6, 2021, 6:10:16 PM",Kudos,Activity,6219988031
"Nov 6, 2021, 6:10:30 PM",Kudos,Activity,6220115352
"Nov 6, 2021, 6:10:31 PM",Kudos,Activity,6220123546
"Nov 6, 2021, 6:11:01 PM",Kudos,Activity,6220024247
"Nov 6, 2021, 6:11:02 PM",Kudos,Activity,6219964249
"Nov 6, 2021, 6:11:09 PM",Kudos,Activity,6220035151
"Nov 6, 2021, 6:11:10 PM",Kudos,Activity,6220129299
"Nov 6, 2021, 6:11:11 PM",Kudos,Activity,6220048290
"Nov 6, 2021, 7:37:21 PM",Kudos,Activity,6220951694
"Nov 6, 2021, 7:37:54 PM",Kudos,Activity,6220956959
"Nov 6, 2021, 9:33:17 PM",Kudos,Activity,6221314839
"Nov 7, 2021, 3:53:49 AM",Kudos,Activity,6222119601
"Nov 7, 2021, 3:54:03 AM",Kudos,Activity,6222084778
"Nov 7, 2021, 4:29:58 AM",Kudos,Activity,6222264442
"Nov 7, 2021, 3:46:55 PM",Kudos,Activity,6225351149
"Nov 7, 2021, 3:46:56 PM",Kudos,Activity,6225341141
"Nov 7, 2021, 6:36:04 PM",Kudos,Activity,6225610240
"Nov 7, 2021, 6:36:16 PM",Kudos,Activity,6225375653
"Nov 7, 2021, 6:36:17 PM",Kudos,Activity,6225399107
"Nov 7, 2021, 6:36:19 PM",Kudos,Activity,6226295090
"Nov 7, 2021, 6:36:20 PM",Kudos,Activity,6226144455
"Nov 7, 2021, 7:36:45 PM",Kudos,Activity,6225579504
"Nov 7, 2021, 7:36:56 PM",Kudos,Activity,6226525304
"Nov 7, 2021, 7:37:41 PM",Kudos,Activity,6226198621
"Nov 7, 2021, 7:37:55 PM",Kudos,Activity,6225404448
"Nov 7, 2021, 9:09:42 PM",Kudos,Activity,6226805211
"Nov 7, 2021, 9:10:37 PM",Kudos,Activity,6226828975
"Nov 7, 2021, 9:10:40 PM",Kudos,Activity,6225407830
"Nov 7, 2021, 9:30:30 PM",Kudos,Activity,5404275353
"Nov 7, 2021, 9:30:31 PM",Kudos,Activity,5404273621
"Nov 7, 2021, 9:30:35 PM",Kudos,Activity,5404272109
"Nov 7, 2021, 9:31:20 PM",Kudos,Activity,6225442925
"Nov 7, 2021, 9:31:23 PM",Kudos,Activity,6225562171
"Nov 7, 2021, 9:32:27 PM",Kudos,Activity,6225464024
"Nov 7, 2021, 9:32:42 PM",Kudos,Activity,6225481155
"Nov 7, 2021, 9:32:46 PM",Kudos,Activity,6225374513
"Nov 7, 2021, 9:32:52 PM",Kudos,Activity,6225101942
"Nov 7, 2021, 9:33:00 PM",Kudos,Activity,6224967386
"Nov 7, 2021, 9:33:05 PM",Kudos,Activity,6224984235
"Nov 7, 2021, 9:33:13 PM",Kudos,Activity,6225013492
"Nov 8, 2021, 12:23:36 AM",Kudos,Activity,6227223925
"Nov 8, 2021, 1:20:57 AM",Kudos,Activity,6227500735
"Nov 8, 2021, 3:57:57 AM",Kudos,Activity,6227420118
"Nov 8, 2021, 4:02:05 AM",Kudos,Activity,6227697405
"Nov 8, 2021, 1:48:28 PM",Kudos,Activity,6227751561
"Nov 8, 2021, 1:48:57 PM",Kudos,Activity,6227673012
"Nov 8, 2021, 2:53:33 PM",Kudos,Activity,6229233144
"Nov 8, 2021, 2:53:40 PM",Kudos,Activity,6227868033
"Nov 8, 2021, 4:26:51 PM",Kudos,Activity,6229724398
"Nov 8, 2021, 10:14:09 PM",Kudos,Activity,6231027407
"Nov 8, 2021, 10:14:15 PM",Kudos,Activity,6231028497
"Nov 8, 2021, 10:14:21 PM",Kudos,Activity,6231002276
"Nov 8, 2021, 10:14:27 PM",Kudos,Activity,6231024796
"Nov 8, 2021, 10:40:15 PM",Kudos,Activity,6231132140
"Nov 8, 2021, 10:47:53 PM",Kudos,Activity,6230785689
"Nov 8, 2021, 10:59:44 PM",Kudos,Activity,6231174944
"Nov 8, 2021, 10:59:46 PM",Kudos,Activity,6231187510
"Nov 8, 2021, 11:26:58 PM",Kudos,Activity,6231248799
"Nov 8, 2021, 11:27:00 PM",Kudos,Activity,6231271380
"Nov 8, 2021, 11:27:01 PM",Kudos,Activity,6231289192
"Nov 9, 2021, 12:30:31 AM",Kudos,Activity,6231222243
"Nov 9, 2021, 12:45:50 AM",Kudos,Activity,6231068968
"Nov 9, 2021, 1:47:14 AM",Kudos,Activity,6231577064
"Nov 9, 2021, 1:19:36 PM",Kudos,Activity,6233578376
"Nov 9, 2021, 1:19:46 PM",Kudos,Activity,6233564982
"Nov 9, 2021, 1:19:49 PM",Kudos,Activity,6233532289
"Nov 9, 2021, 1:19:52 PM",Kudos,Activity,6233577694
"Nov 9, 2021, 1:19:57 PM",Kudos,Activity,6233580105
"Nov 9, 2021, 1:20:08 PM",Kudos,Activity,6233570581
"Nov 9, 2021, 1:20:19 PM",Kudos,Activity,6232007923
"Nov 9, 2021, 1:20:24 PM",Kudos,Activity,6233598306
"Nov 9, 2021, 1:20:36 PM",Kudos,Activity,6231832197
"Nov 9, 2021, 2:39:28 PM",Kudos,Activity,6233743943
"Nov 9, 2021, 2:39:32 PM",Kudos,Activity,6233823774
"Nov 9, 2021, 2:39:35 PM",Kudos,Activity,6233813787
"Nov 9, 2021, 3:28:54 PM",Kudos,Activity,6234024410
"Nov 9, 2021, 5:40:51 PM",Kudos,Activity,6234024843
"Nov 10, 2021, 1:38:41 AM",Kudos,Activity,6236462341
"Nov 10, 2021, 12:53:23 PM",Kudos,Activity,6236833720
"Nov 10, 2021, 9:03:57 PM",Kudos,Activity,6240213357
"Nov 10, 2021, 10:00:39 PM",Kudos,Activity,6240321025
"Nov 10, 2021, 10:05:45 PM",Kudos,Activity,6240180362
"Nov 10, 2021, 10:05:47 PM",Kudos,Activity,6240165126
"Nov 10, 2021, 10:05:48 PM",Kudos,Activity,6240147642
"Nov 10, 2021, 10:05:50 PM",Kudos,Activity,6240453261
"Nov 11, 2021, 12:04:34 AM",Kudos,Activity,6240790397
"Nov 11, 2021, 2:23:41 AM",Kudos,Activity,6241124875
"Nov 11, 2021, 2:24:22 AM",Kudos,Activity,6240935745
"Nov 11, 2021, 2:24:44 AM",Kudos,Activity,6240778171
"Nov 11, 2021, 1:15:29 PM",Kudos,Activity,6241608219
"Nov 11, 2021, 3:29:03 PM",Kudos,Activity,6242875937
"Nov 11, 2021, 6:24:42 PM",Kudos,Activity,6244226005
"Nov 11, 2021, 11:45:49 PM",Kudos,Activity,6245342608
"Nov 12, 2021, 12:21:32 AM",Kudos,Activity,6245400557
"Nov 12, 2021, 12:21:33 AM",Kudos,Activity,6245376083
"Nov 12, 2021, 12:21:34 AM",Kudos,Activity,6245340453
"Nov 12, 2021, 12:21:42 AM",Kudos,Activity,6245374548
"Nov 12, 2021, 12:22:52 AM",Kudos,Activity,6245009884
"Nov 12, 2021, 12:34:08 AM",Kudos,Activity,6244791097
"Nov 12, 2021, 12:38:35 AM",Kudos,Activity,6245427998
"Nov 12, 2021, 1:38:22 AM",Kudos,Activity,6245398993
"Nov 12, 2021, 3:12:44 PM",Kudos,Activity,6246166079
"Nov 12, 2021, 7:54:41 PM",Kudos,Activity,6245707193
"Nov 12, 2021, 8:25:00 PM",Kudos,Activity,6248743191
"Nov 12, 2021, 8:25:03 PM",Kudos,Activity,6248741829
"Nov 13, 2021, 2:00:43 AM",Kudos,Activity,6249339310
"Nov 13, 2021, 2:11:16 AM",Kudos,Activity,6249017462
"Nov 13, 2021, 2:11:17 AM",Kudos,Activity,6248926832
"Nov 13, 2021, 2:11:29 AM",Kudos,Activity,6248987546
"Nov 13, 2021, 2:11:30 AM",Kudos,Activity,6249292928
"Nov 13, 2021, 2:11:32 AM",Kudos,Activity,6248932691
"Nov 13, 2021, 2:11:35 AM",Kudos,Activity,6249521734
"Nov 13, 2021, 2:11:36 AM",Kudos,Activity,6249383861
"Nov 13, 2021, 2:11:38 AM",Kudos,Activity,6248974620
"Nov 13, 2021, 2:11:39 AM",Kudos,Activity,6249389942
"Nov 13, 2021, 2:11:41 AM",Kudos,Activity,6248949434
